NO;NO.INDUK KARYAWAN;AMOUNT
;E0052;600.000
;E0123;600.000
;E0124;250.000
;E0127;600.000
;E0130;600.000
;E0132;250.000
;E0133;250.000
;E0134;600.000
;E0080;600.000
;E0137;600.000
;E0148;250.000
;E0110;250.000
;E0096;600.000
;E0091;600.000
;E0098;600.000
;E0094;250.000
;E0006;100.000
;E0195;900.000
;E0196;900.000
;E0199;600.000
;E0203;250.000
;E0208;250.000
;E0210;250.000
;E0211;250.000
;E0212;600.000
;E0213;250.000
;E0120;600.000
;E0122;600.000
;E0129;250.000
;E0041;250.000
;E0042;250.000
;E0059;600.000
;E0116;600.000
;E0118;600.000
;E0209;600.000
;E0207;250.000
;E0217;600.000
;E0227;250.000
;E0229;250.000
;E0076;600.000
;E0167;600.000
;E0079;600.000
;E0268;600.000
;E0218;600.000
;E0316;250.000
;E0170;250.000
;E0171;250.000
;E0064;100.000
;E0176;600.000
;E0023;600.000
;E0075;250.000
;E0070;600.000
;E0022;600.000
;E0415;250.000
;E0036;600.000
;E0107;600.000
;E0150;600.000
;E0513;600.000
;E0488;600.000
;E0138;600.000
;E0183;600.000
;E0231;250.000
;E0193;600.000
;E0221;600.000
;E0493;600.000
;E0603;100.000
;F0001;600.000
;F0010;250.000
;F0011;250.000
;F0016;250.000
;F0017;250.000
;F0019;250.000
;F0020;250.000
;F0025;250.000
;F0007;250.000
;F0047;250.000
;F0028;100.000
;F0031;100.000
;F0033;100.000
;F0034;100.000
;F0035;100.000
;F0037;100.000
;F0038;100.000
;F0039;250.000
;F0040;100.000
;F0044;100.000
;F0045;100.000
;F0255;250.000
;F0060;100.000
;F0251;250.000
;F0003;250.000
;F0491;250.000
;F0111;250.000
;F0109;250.000
;F0353;250.000
;F0124;250.000
;F0220;600.000
;F0113;100.000
;F0115;250.000
;F0317;250.000
;F0275;250.000
;F0299;250.000
;F0112;250.000
;F0129;250.000
;F0132;250.000
;F0436;250.000
;F0110;250.000
;F0116;250.000
;F0119;250.000
;F0486;250.000
;F0494;229.167
;F0495;229.167
;F0496;229.167
;F0497;208.333
;F0503;187.500
;F0506;66.667
;F0508;50.000
;F0509;50.000
;F0515;25.000
;F0057;250.000
;F0473;250.000
;F0093;600.000
;F0059;250.000
;F0005;250.000
;F0008;250.000
;F0013;250.000
;F0062;100.000
;F0061;600.000
;F0069;100.000
;F0070;600.000
;F0071;100.000
;F0075;600.000
;F0073;100.000
;F0076;100.000
;F0078;600.000
;F0079;100.000
;F0081;100.000
;F0082;100.000
;F0083;100.000
;F0084;100.000
;F0086;100.000
;F0087;100.000
;F0209;100.000
;F0304;100.000
;F0063;100.000
;F0064;100.000
;F0065;600.000
;F0066;100.000
;F0067;100.000
;F0094;250.000
;F0095;250.000
;F0137;100.000
;F0096;600.000
;F0270;600.000
;F0140;100.000
;F0105;250.000
;F0382;100.000
;F0210;100.000
;F0440;100.000
;F0361;250.000
;F0136;250.000
;F0470;600.000
;F0488;600.000
;F0290;250.000
;F0329;600.000
;F0202;250.000
;F0155;250.000
;F0327;250.000
;F0395;250.000
;F0410;250.000
;F0427;250.000
;F0426;100.000
;F0429;100.000
;F0422;100.000
;F0434;600.000
;F0453;250.000
;F0460;600.000
;F0466;600.000
;F0467;250.000
;F0226;250.000
;F0478;250.000
;F0493;250.000
;F0492;600.000
;F0499;208.333
;F0513;200.000
;F0512;200.000
;F0517;25.000
;F0519;25.000
;F0103;600.000
;F0306;250.000
;F0104;600.000
;F0362;600.000
;F0054;600.000
;F0056;250.000
;F0102;600.000
; H0001 ;100.000
; H0002 ;250.000
; H0003 ;600.000
; H0006 ;100.000
; H0009 ;600.000
; H0012 ;100.000
; H0013 ;600.000
; H0015 ;100.000
; H0016 ;250.000
; H0022 ;250.000
; H0023 ;100.000
; H0037 ;100.000
; H0004 ;100.000
; H0021 ;100.000
; H0031 ;250.000
; H0052 ;600.000
; H0053 ;600.000
; H0406 ;600.000
; H0076 ;600.000
; H0045 ;600.000
; H0124 ;600.000
; H0421 ;100.000
; H0337 ;600.000
; H0047 ;250.000
; H0030 ;600.000
; H0495 ;600.000
; H0068 ;900.000
; H0059 ;900.000
; H0051 ;600.000
; H0072 ;250.000
; H0048 ;250.000
; H0217 ;100.000
; H0075 ;600.000
; H0057 ;600.000
; H0058 ;250.000
; H0339 ;250.000
